Название,Цена,Старая цена,Скидка,Бонусы за покупку,Процессор,Видеокарта,Оперативная память,Накопитель,Экран,Операционная система,Ссылка
Dell G15 G515-5803,147499,Нет,Нет,4425,Intel Core i7-11800H 2.3 ГГц,NVIDIA GeForce RTX 3060 6 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 15.6""",Linux,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-dell-g15-g515-5803/
MSI GL66 Pulse 11UEK-207XRU,130999,Нет,Нет,3930,Intel Core i7-11800H 2.3 ГГц,NVIDIA RTX 3060 6 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-msi-gl66-pulse-11uek-207xru/
Acer Aspire 7 A715-75G-51PD (NH.Q99ER.00R),74999,109999,32,2250,Intel Core i5-10300H 2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/noutbuk-acer-aspire-7-a715-75g-51pd-nh-q99er-00r/
ASUS TUF Gaming F15 FX506LH-HN082T,94999,99999,5,2850,Intel Core i5-10300H 2.5 ГГц,NVIDIA GeForce GTX 1650 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 10 Домашняя,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-tuf-gaming-f15-fx506lh-hn082t/
MSI Katana GF76 11UC-679XRU,99999,Нет,Нет,3000,Intel Core i5-11400H 2.7 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 17.3""",Без ОС,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-msi-katana-gf76-11uc-679xru/
HP Victus 16-d0002ur (5D5F2EA),109999,Нет,Нет,3300,Intel Core i5-11400H 2.7 ГГц,NVIDIA GeForce RTX 3060 6 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 16.1""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-victus-16-d0002ur-5d5f2ea/
Acer Nitro 5 AN515-55-5269 (NH.QB2ER.00A),101499,Нет,Нет,3045,Intel Core i5-10300H 2.5 ГГц,Intel GeForce RTX 3060 для ноутбуков 6 ГБ,16 ГБ DDR4,1 ТБ SSD,"1920x1080 15.6""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/noutbuk-acer-nitro-5-an515-55-5269-nh-qb2er-00a/
Lenovo Legion 5 15ACH6A (82NW001GRU),129999,Нет,Нет,3900,AMD Ryzen 7 5800H 3.2 ГГц,AMD RX 6600M 8GB 8 ГБ,32 ГБ DDR4,1 ТБ SSD,"1920x1080 15.6""",Windows 11 Домашняя,https://www.eldorado.ru/cat/detail/noutbuk-lenovo-legion-5-15ach6a-82nw001gru/
ASUS TUF Gaming F17 (FX706HCB-HX0145T),99999,Нет,Нет,3000,Intel Core i5-11400H 2.2 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 17.3""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-tuf-gaming-f17-fx706hcb-hx0145t/
ASUS TUF FX506HCB-HN303W,89999,Нет,Нет,2700,Intel Core i5-11400H 2.2 ГГц,NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 11 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-tuf-fx506hcb-hn303w/
Dell G15 G515-0564,89999,Нет,Нет,2700,Intel Core i5-10200H 2.4 ГГц,NVIDIA GeForce RTX 3050 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 15.6""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-dell-g15-g515-0564/
ASUS TUF Gaming F17 FX706HEB-HX166W,104999,Нет,Нет,3150,Intel Core i5-11400H 2.7 ГГц,NVIDIA RTX 3050 Ti 4 ГБ,8 ГБ DDR4,512 ГБ SSD,"1920x1080 17.3""",Windows 11 Домашняя,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-tuf-gaming-f17-fx706heb-hx166w/
Lenovo Legion C7 15IMH05 (82EH002YRU),198999,Нет,Нет,5970,Intel Core i7-10875H 2.3 ГГц,NVIDIA GeForce RTX 2070 8GB Max-Q Design 8 ГБ,32 ГБ DDR4,1 ТБ SSD,"1920x1080 15.6""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-lenovo-legion-c7-15imh05-82eh002yru/
ASUS ROG Zephyrus M16 GU603HE-KR013T,159999,Нет,Нет,4800,Intel Core i7-11800H 2.3 ГГц,NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 16""",Windows 10,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-asus-rog-zephyrus-m16-gu603he-kr013t/
HP Omen 16-c0025ur (491M1EA),104999,129999,19,3150,AMD Ryzen 5 5600H 3.3 ГГц,AMD Radeon RX 6600M 8 ГБ,16 ГБ DDR4,512 ГБ SSD,"1920x1080 16.1""",Windows 10 Домашняя x64,https://www.eldorado.ru/cat/detail/igrovoy-noutbuk-hp-omen-16-c0025ur-491m1ea/
